name,cost,champName,skinType,skinLine,date
"Debonair Brand",1350,brand,,"debonair","December 9, 2021"
"Debonair Brand Prestige Edition",,brand,Limited Edition,"debonair-prestige-edition","December 9, 2021"
"Debonair Zed",1820,zed,Legendary,"debonair","December 9, 2021"
"Debonair Draven",1350,draven,,"debonair","December 9, 2021"
"Debonair Leona",1350,leona,,"debonair","December 9, 2021"
"Debonair Master Yi",1350,master-yi,,"debonair","December 9, 2021"
"Debonair LeBlanc",1350,leblanc,,"debonair","December 9, 2021"
"Debonair Malzahar",1350,malzahar,,"debonair","December 9, 2021"
"Arcane Jinx",,jinx,Special Events,"arcane","November 24, 2021"
"Arcane Caitlyn",,caitlyn,Special Events,"arcane","November 22, 2021"
"Cafe Cuties Annie",1350,annie,,"cafe-cuties","November 17, 2021"
"Cafe Cuties Gwen",1350,gwen,,"cafe-cuties","November 17, 2021"
"Cafe Cuties Soraka",1350,soraka,,"cafe-cuties","November 17, 2021"
"Cafe Cuties Sivir",1350,sivir,,"cafe-cuties","November 17, 2021"
"Cafe Cuties Bard",1350,bard,,"cafe-cuties","November 17, 2021"
"Cafe Cuties Vladimir",1350,vladimir,,"cafe-cuties","November 17, 2021"
"Victorious Blitzcrank",,blitzcrank,Special Events,"victorious","November 16, 2021"
"Arcane Vi",,vi,Special Events,"arcane","November 15, 2021"
"Arcane Jayce",,jayce,Special Events,"arcane","November 8, 2021"
"Truth Dragon Yasuo",1820,yasuo,Legendary,"truth-dragon","October 21, 2021"
"Dream Dragon Yasuo",1820,yasuo,Legendary,"dream-dragon","October 21, 2021"
"Lagoon Dragon Kai'Sa",1350,kaisa,,"lagoon-dragon","October 21, 2021"
"Steel Dragon Thresh",1350,thresh,,"steel-dragon","October 21, 2021"
"Tranquility Dragon Karma",1350,karma,,"tranquility-dragon","October 21, 2021"
"Duality Dragon Volibear",1350,volibear,,"duality-dragon","October 21, 2021"
"Duality Dragon Volibear Prestige Edition",,volibear,Limited Edition,"duality-dragon-prestige-edition","October 21, 2021"
"Bewitching Fiora",1350,fiora,Special Events,"bewitching","October 7, 2021"
"Bewitching Syndra",1350,syndra,Special Events,"bewitching","October 7, 2021"
"Bewitching Poppy",1350,poppy,Special Events,"bewitching","October 7, 2021"
"Bewitching Nami",1350,nami,Special Events,"bewitching","October 7, 2021"
"Bewitching Yuumi",1350,yuumi,Special Events,"bewitching","October 7, 2021"
"Bewitching Morgana Prestige Edition",,morgana,Limited Edition,"bewitching-prestige-edition","October 7, 2021"
"Dawnbringer Vex",1350,vex,,"dawnbringer","September 23, 2021"
"Dawnbringer Morgana",1350,morgana,,"dawnbringer","September 23, 2021"
"Dawnbringer Yone",1820,yone,Legendary,"dawnbringer","September 23, 2021"
"Nightbringer Tryndamere",1350,tryndamere,,"nightbringer","September 23, 2021"
"Nightbringer Lillia",1350,lillia,,"nightbringer","September 23, 2021"
"Nightbringer Kayn",1350,kayn,,"nightbringer","September 23, 2021"
"Nightbringer Kayn Prestige Edition",,kayn,Limited Edition,"nightbringer-prestige-edition","September 23, 2021"
"Worlds 2021 Jarvan IV",1350,jarvan-iv,Special Events,"worlds-2021","September 23, 2021"
"Pentakill III: Lost Chapter Yorick",1350,yorick,,"pentakill-iii-lost-chapter","September 9, 2021"
"Pentakill III: Lost Chapter Mordekaiser",1350,mordekaiser,,"pentakill-iii-lost-chapter","September 9, 2021"
"Pentakill III: Lost Chapter Olaf",1350,olaf,,"pentakill-iii-lost-chapter","September 9, 2021"
"Pentakill III: Lost Chapter Karthus",1350,karthus,,"pentakill-iii-lost-chapter","September 9, 2021"
"Pentakill III: Lost Chapter Kayle",1350,kayle,,"pentakill-iii-lost-chapter","September 9, 2021"
"Pentakill III: Lost Chapter Sona",1350,sona,,"pentakill-iii-lost-chapter","September 9, 2021"
"Dissonance of Pentakill Viego",1350,viego,,"dissonance-of-pentakill","September 9, 2021"
"Hextech Tristana",,tristana,Hextech Crafting,"hextech","September 9, 2021"
"Brave Phoenix Xayah",1350,xayah,,"brave-phoenix","September 2, 2021"
"Divine Phoenix Anivia",1350,anivia,,"divine-phoenix","September 2, 2021"
"Graceful Phoenix Seraphine",1350,seraphine,,"graceful-phoenix","September 2, 2021"
"Crime City Nightmare Akali",1350,akali,,"crime-city-nightmare","August 26, 2021"
"Crime City Nightmare Shaco",1350,shaco,,"crime-city-nightmare","August 26, 2021"
"Crime City Nightmare Twisted Fate",1350,twisted-fate,,"crime-city-nightmare","August 26, 2021"
"Crime City Nightmare Darius",1350,darius,,"crime-city-nightmare","August 26, 2021"
"Crime City Nightmare Zyra",1350,zyra,,"crime-city-nightmare","August 26, 2021"
"Coven Evelynn",1820,evelynn,Legendary,"coven","August 12, 2021"
"Old God Malphite",1350,malphite,,"old-god","August 12, 2021"
"Old God Warwick",1350,warwick,,"old-god","August 12, 2021"
"Coven Cassiopeia",1350,cassiopeia,,"coven","August 12, 2021"
"Coven Ahri",1350,ahri,,"coven","August 12, 2021"
"Coven Ashe",1350,ashe,,"coven","August 12, 2021"
"Coven LeBlanc Prestige Edition",,leblanc,Limited Edition,"coven-prestige-edition","August 12, 2021"
"Unbound Thresh",,thresh,,"unbound","July 29, 2021"
"Cyber Pop Akshan",1350,akshan,,"cyber-pop","July 22, 2021"
"Ruined Miss Fortune",1350,miss-fortune,,"ruined","July 22, 2021"
"Sentinel Pyke",1350,pyke,,"sentinel","July 22, 2021"
"Sentinel Graves",1820,graves,Legendary,"sentinel","July 22, 2021"
"Sentinel Rengar",1350,rengar,,"sentinel","July 22, 2021"
"Sentinel Vayne",1820,vayne,Legendary,"sentinel","July 8, 2021"
"Sentinel Irelia",1350,irelia,,"sentinel","July 8, 2021"
"Sentinel Diana",1350,diana,,"sentinel","July 8, 2021"
